 |  | Despesas Pré-operacionais
 |  |  | Cruzeiro da Fortaleza | 125613.26415453022 | 57386.19215817462 | 55983.26402357598 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4718.975851791168 | 1402.9281345986446 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4718.975851791168 | 1402.9281345986446 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
 |  |  | Guimarânia | 335168.91805283725 | 153121.31299418933 | 149377.93518974943 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 12591.457130009385 | 3743.3778044398878 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 12591.457130009385 | 3743.3778044398878 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
 |  |  | Lagoa Formosa | 727925.3568628591 | 332551.38051623775 | 324421.4511659874 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 27346.33324006663 | 8129.929350250335 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 27346.33324006663 | 8129.929350250335 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
 |  |  | Patos de Minas | 8058006.391476282 | 3681285.6214307696 | 3591288.725390631 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 302719.126287302 | 89996.896040139 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 302719.126287302 | 89996.896040139 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
 |  |  | Presidente Olegário | 657980.7290838445 | 300597.3040325579 | 293248.56038618746 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 24718.68868617906 | 7348.743646370425 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 24718.68868617906 | 7348.743646370425 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
 |  |  | Rio Paranaíba | 599454.7845240142 | 273859.8322905821 | 267164.74329429655 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 22520.015473282165 | 6695.088996285567 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 22520.015473282165 | 6695.088996285567 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
 |  |  | Serra do Salitre | 491873.14392909897 | 224711.35468811684 | 219217.8052853826 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 18478.442575065492 | 5493.549402734269 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 18478.442575065492 | 5493.549402734269 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
 |  | Disposição Final |  | 32532767.849999994 | 2418320.36 | 1500000 | 3851822.96 | 2279292.8819999998 | 0 | 0 | 0 | 0 | 0 | 0 | 13227132.641999999 | 0 | 0 | 0 | 0 | 0 | 0 | 2279292.8819999998 | 0 | 0 | 2418320.36 | 0 | 0 | 2279292.8819999998 | 0 | 0 | 0 | 0 | 0 | 2279292.8819999998
 |  |  | Arapuá | 222106.8470537887 | 16510.292416622127 | 10240.760088929323 | 26297.063225593072 | 15561.127717977526 | 0 | 0 | 0 | 0 | 0 | 0 | 90303.9280341119 | 0 | 0 | 0 | 0 | 0 | 0 | 15561.127717977526 | 0 | 0 | 16510.292416622127 | 0 | 0 | 15561.127717977526 | 0 | 0 | 0 | 0 | 0 | 15561.127717977526
 |  |  | Coromandel | 2812903.6891338173 | 209096.9416901741 | 129695.55966326197 | 333042.8896806682 | 197076.11064498618 | 0 | 0 | 0 | 0 | 0 | 0 | 1143666.913829594 | 0 | 0 | 0 | 0 | 0 | 0 | 197076.11064498618 | 0 | 0 | 209096.9416901741 | 0 | 0 | 197076.11064498618 | 0 | 0 | 0 | 0 | 0 | 197076.11064498618
 |  |  | Cruzeiro da Fortaleza | 336968.1675119178 | 25048.49829941419 | 15536.712203473855 | 39896.443192168525 | 23608.478356706994 | 0 | 0 | 0 | 0 | 0 | 0 | 137004.10209061916 | 0 | 0 | 0 | 0 | 0 | 0 | 23608.478356706994 | 0 | 0 | 25048.49829941419 | 0 | 0 | 23608.478356706994 | 0 | 0 | 0 | 0 | 0 | 23608.478356706994
