 | Municípios |  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30
 | Presidente Olegário |  | 4169.493031999999 | 4158.366821 | 4147.24061 | 4136.114399 | 4124.988187999999 | 4113.425655 | 4094.0093259999994 | 4074.5929969999993 | 4055.1766679999996 | 4035.760339 | 4016.1258489999996 | 3989.5102069999994 | 3962.894565 | 3936.278923 | 3909.663281 | 3882.611317 | 3853.814065 | 3825.0168129999997 | 3796.219561 | 3767.4223089999996 | 3739.0613789999998 | 3710.264127 | 3681.466875 | 3652.669623 | 3623.8723709999995 | 3595.075119 | 3566.277867 | 3537.480615 | 3508.6833629999996 | 3479.8861110000003
 | Rio Paranaíba |  | 3371.2419330000002 | 3400.4755069999997 | 3429.7090809999995 | 3458.942655 | 3488.1762289999997 | 3516.9734809999995 | 3540.0985469999996 | 3563.223612999999 | 3586.3486789999997 | 3609.4737450000002 | 3632.816972 | 3651.3606569999997 | 3669.904342 | 3688.4480270000004 | 3706.991712 | 3725.7535580000003 | 3737.7524129999997 | 3749.751268 | 3761.750123 | 3773.7489779999996 | 3785.965994 | 3797.9648489999995 | 3809.963704 | 3821.9625589999996 | 3833.961414 | 3845.9602689999992 | 3857.959124 | 3869.957979 | 3881.9568339999996 | 3893.955689
 | Serra do Salitre |  | 2749.0467609999996 | 2773.262632 | 2797.478503 | 2821.6943739999997 | 2845.910245 | 2870.562438 | 2891.0695720000003 | 2911.5767060000003 | 2932.0838399999993 | 2952.5909739999993 | 2972.8799470000004 | 2987.278573 | 3001.6771989999997 | 3016.075825 | 3030.474451 | 3045.3093989999998 | 3055.7811269999997 | 3066.2528549999997 | 3076.7245829999997 | 3087.1963109999997 | 3098.104361 | 3108.576089 | 3119.0478169999997 | 3129.519545 | 3139.9912729999996 | 3150.4630009999996 | 3160.9347289999996 | 3171.4064569999996 | 3181.8781849999996 | 3192.3499129999996
 | Total |  | 70821.69933 | 71150.65513099999 | 71479.61093200001 | 71808.566733 | 72137.52253400002 | 72466.212598 | 72752.04951900002 | 73037.88644 | 73323.72336100001 | 73609.560282 | 73894.872302 | 74060.079649 | 74225.286996 | 74390.494343 | 74555.70169000002 | 74721.693728 | 74788.09699099998 | 74854.50025399998 | 74920.903517 | 74987.30678000001 | 75053.91411900001 | 75120.31738199998 | 75186.72064499998 | 75253.123908 | 75319.527171 | 75385.930434 | 75452.333697 | 75518.73696 | 75585.14022299998 | 75651.543486
 | Meta de Alcance - Coleta Seletiva
 | Arapuá |  |  |  | 0.074 | 0.074 | 0.074 | 0.097 | 0.097 | 0.097 | 0.097 | 0.113 | 0.113 | 0.113 | 0.113 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129
 | Coromandel |  | 0.046 | 0.074 | 0.074 | 0.074 | 0.074 | 0.097 | 0.097 | 0.097 | 0.097 | 0.113 | 0.113 | 0.113 | 0.113 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129
 | Cruzeiro da Fortaleza |  |  |  | 0.074 | 0.074 | 0.074 | 0.097 | 0.097 | 0.097 | 0.097 | 0.113 | 0.113 | 0.113 | 0.113 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129
 | Guimarânia |  |  |  | 0.074 | 0.074 | 0.074 | 0.097 | 0.097 | 0.097 | 0.097 | 0.113 | 0.113 | 0.113 | 0.113 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129
 | Lagoa Formosa |  |  |  | 0.074 | 0.074 | 0.074 | 0.097 | 0.097 | 0.097 | 0.097 | 0.113 | 0.113 | 0.113 | 0.113 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129 | 0.129
